Order_ID,Order_Date,Customer_ID,Segment,Region,Category,Sub_Category,Ship_Mode,Quantity,Discount,Sales,Profit,Campaign_Group,Converted
ORD-03386,2025-08-01,CUST-0032,Corporate,East,Furnitur,Chairs,Standard Class,3,0.1,$608.61,69.58,Treatment,0
ORD-03736,2024-09-30,CUST-0681,Corporate,East,Technology,Accessories,Standard Class,6,0.1,2433.08,590.65,Control,0
ORD-01706,2025-11-17,CUST-0005,Corporate,West,Office Supplies,Binders,Standard Class,4,0%,162.85,49.88,Control,0
ORD-02841,2024-11-08,CUST-0867,Corporate,East,Technology,Phones,FIRST CLASS,3,0.0,1300.11,532.99,Treatment,0
ORD-03058,2024-11-08,CUST-0535,Corporate,West,Technology,Accessories,Second Class,6,0.0,2366.76,787.99,Control,0
ORD-00707,24/05/2024,CUST-0199,Home Office,East,Furnitur,Chairs,Standard Class,3,0.4,458.35,-14.39,Control,0
ORD-03431,2024-04-18,CUST-0346,Consumer,East,Technology,Machines,Second Class,2,0.1,707.17,195.24,Control,0
ORD-02293,2025-05-31,CUST-0464,Consumer,East,Office Supplies,Binders,Standard Class,3,0.4,89.46,-9.88,Treatment,0
ORD-02249,2024-08-17,CUST-0450,Consumer,East,Office Supplies,Binders,Second Class,2,0.3,49.6,1.19,Treatment,0
ORD-00184,2025-03-31,CUST-0097,Corporate,East,Technology,Accessories,Standard Class,2,0.5,395.11,-81.16,Control,1
ORD-02403,2025-04-01,CUST-0522,,East,Technology,Accessories,Standard Class,7,20%,"$1,712.53",135.77,Treatment,0
ORD-01809,2025-11-16,CUST-0561,Corporate,South,Office Supplies,Storage,Standard Class,6,0.2,218.5,38.04,Control,0
ORD-00940,2024-12-15,CUST-0367,Consumer,East,Office Supplies,Storage,Standard Class,2,0.0,74.63,18.48,Treatment,0
ORD-00498,2025-11-20,CUST-0454,Corporate,North,Office Supplies,Binders,Standard Class,3,0.0,144.76,42.91,Treatment,0
ORD-03846,2024-08-20,CUST-0707,Consumer,South,Technology,Phones,Second Class,3,0.0,870.38,255.91,Treatment,0
ORD-01636,2024-10-21,CUST-0774,Corporate,North,Technology,Phones,  First Class  ,7,10%,2417.63,412.05,Control,1
ORD-00359,2024-04-25,CUST-0796,Consumer,West,Office Supplies,Binders,Second Class,2,0.1,76.87,18.36,Control,1
ORD-00172,2025-04-17,CUST-0161,Consumer,East,Office Supplies,Storage,  Second Class  ,4,0.0,187.95,53.67,Control,0
ORD-01907,2025-06-03,CUST-0850,Consumer,East,Technology,Machines,Standard Class,6,10%,"$1,986.46",297.54,Control,0
ORD-03518,2025-12-20,CUST-0572,Corporate,West,Office Supplies,Paper,Standard Class,1,0.3,33.79,0.96,Control,1
ORD-02098,12/05/2024,CUST-0462,Consumer,South,Office Supplies,Binders,Standard Class,7,0.0,$299.41,79.12,Treatment,0
ORD-03837,2025-01-27,CUST-0634,Corporate,North,Office Supplies,Binders,,1,0.0,43.43,14.44,Treatment,0
ORD-00016,2024-04-09,CUST-0840,Corporate,West,Technology,Accessories,Standard Class,4,0%,"$1,133.86",375.14,Treatment,0
ORD-03414,2025-03-06,CUST-0279,Consumer,  South  ,Technology,Machines,Standard Class,6,0.1,1548.41,397.2,Treatment,0
ORD-01847,2025-06-07,CUST-0174,Consumer,South,Furnitur,Bookcases,STANDARD CLASS,4,0.5,$504.64,-85.97,Control,1
ORD-00614,2024-06-13,CUST-0775,Consumer,East,Technology,Machines,Standard Class,5,0.0,1651.41,460.95,Treatment,0
ORD-03217,18/02/2024,CUST-0679,Corporate,West,Technology,Machines,Standard Class,2,0.3,$570.93,39.91,Control,1
ORD-03446,2024-04-20,CUST-0889,Consumer,North,Technology,Machines,First Class,2,0.3,462.35,-9.46,Control,0
ORD-01785,28/03/2024,CUST-0570,Corporate,East,Office Supplies,Binders,First Class,2,0.0,$74.31,27.96,Control,0
ORD-02618,2025-06-24,CUST-0585,Consumer,West,Office Supplies,Paper,Standard Class,5,0.0,$166.98,54.31,Control,0
ORD-00280,2024-07-26,CUST-0297,Corporate,North,Office Supplies,Paper,Standard Class,2,0.0,80.28,19.85,Treatment,0
ORD-01561,26/09/2025,CUST-0114,Home Office,South,Furnitur,Tables,Standard Class,4,0.1,1001.86,234.3,Treatment,1
ORD-03802,2025-06-11,CUST-0434,Consumer,South,Technology,Phones,First Class,2,0%,642.8,153.09,Treatment,1
ORD-02786,2024-09-16,CUST-0105,Corporate,North,Office Supplies,Paper,First Class,7,0%,$303.75,126.45,Control,0
ORD-02797,2025-06-26,CUST-0008,Corporate,North,Furnitur,Bookcases,Standard Class,3,0.4,481.64,-47.16,Control,0
ORD-02003,2024-10-20,CUST-0293,Home Office,west,Technology,Machines,Standard Class,4,0%,"$1,356.50",546.64,Treatment,0
ORD-02560,2024-08-04,CUST-0735,Corporate,South,Technology,Phones,Second Class,3,0.3,854.87,39.79,Treatment,0
ORD-01122,15/04/2024,CUST-0180,Consumer,west,Technology,Phones,Standard Class,3,0.1,848.93,160.92,Control,0
ORD-01372,2025-05-15,CUST-0094,Home Office,North,Technology,Phones,Standard Class,1,0%,452.74,131.25,Treatment,1
ORD-03054,2024-05-22,CUST-0451,,,Office Supplies,Binders,Same Day,7,20%,211.0,39.51,Control,0
ORD-02408,2024-06-04,CUST-0738,Corporate,West,Technology,Accessories,Standard Class,7,0%,2630.23,940.68,Control,0
ORD-01921,2025-09-14,CUST-0615,Corporate,  East  ,Office Supplies,Storage,Standard Class,3,0%,129.55,33.77,Treatment,0
ORD-02385,2025-01-24,CUST-0850,Consumer,North,Office Supplies,Binders,Same Day,5,0%,201.12,65.68,Control,0
ORD-01542,20/01/2024,CUST-0525,,South,Office Supplies,Paper,First Class,7,0.0,320.63,76.16,Treatment,0
ORD-03478,11/07/2025,CUST-0474,Consumer,North,Office Supplies,Paper,Second Class,3,0.2,110.81,9.04,Control,0
ORD-02848,21/08/2025,CUST-0009,Consumer,North,Furnitur,Bookcases,Standard Class,3,30%,$459.36,-44.03,Treatment,0
ORD-02595,2025-09-22,CUST-0295,Home Office,East,Office Supplies,Storage,Standard Class,1,0.4,21.03,-0.46,Control,0
ORD-00048,21/01/2024,CUST-0384,Consumer,East,Office Supplies,Paper,,6,0.2,178.95,29.17,Control,0
ORD-00451,02/05/2025,CUST-0738,Corporate,North,Furnitur,Bookcases,Standard Class,7,0.4,1132.28,-82.66,Treatment,0
ORD-03452,2024-04-13,CUST-0392,Consumer,South,Furnitur,Bookcases,Standard Class,7,10%,1402.7,123.12,Control,0
ORD-03906,2025-06-01,CUST-0444,Corporate,South,Technology,Accessories,STANDARD CLASS,5,,1066.39,13.31,Control,0
ORD-03231,2024-12-09,CUST-0052,Consumer,,Furnitur,Tables,First Class,6,0.3,1053.72,6.58,Treatment,1
ORD-02719,2025-10-31,CUST-0196,Corporate,South,Technology,Accessories,Same Day,2,0.2,673.21,102.7,Treatment,0
ORD-00544,2025-10-25,CUST-0234,Home Office,East,Office Supplies,Storage,STANDARD CLASS,7,0.1,228.6,64.11,Control,0
